RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
541,25.46,0.00,9.12
542,25.58,0.00,8.75
543,25.58,0.00,8.11
544,25.58,0.00,8.33
545,25.74,0.00,7.89
546,25.74,0.00,7.78
547,25.74,0.00,8.62
548,25.75,0.00,8.50
549,25.75,0.00,7.89
550,25.92,0.00,7.44
551,25.90,0.00,7.33
552,25.90,0.00,6.90
553,26.08,0.00,6.50
554,26.08,0.00,6.00
555,26.08,0.00,5.58
556,26.08,0.00,5.83
557,26.10,0.00,6.09
558,26.10,0.00,5.92
559,26.16,0.00,5.67
560,26.16,0.00,5.31
561,26.16,0.00,5.14
562,26.16,0.00,5.29
563,26.16,0.00,5.00
564,26.17,0.00,5.07
565,26.17,0.00,4.93
566,26.17,0.00,4.75
567,26.15,0.00,4.93
568,26.15,0.00,5.13
569,26.15,0.00,5.33
570,26.15,0.00,5.93
571,26.19,0.00,6.15
572,26.24,0.00,6.50
573,26.24,0.00,6.23
574,26.24,0.00,6.46
575,26.30,0.00,6.15
576,26.30,0.00,6.38
577,26.38,0.00,6.58
578,26.38,0.00,6.15
579,26.38,0.00,6.38
580,26.49,0.00,6.08
581,26.49,0.00,6.38
582,26.49,0.00,6.14
583,26.49,0.00,6.21
584,26.47,0.00,6.00
585,26.47,0.00,5.80
586,26.58,0.00,5.53
587,26.58,0.00,5.44
588,26.58,0.00,5.62
589,26.58,0.00,5.88
590,26.62,0.00,5.75
591,26.68,0.00,5.62
592,26.79,0.00,5.73
593,26.91,0.00,5.47
594,26.91,0.00,5.31
595,26.91,0.00,5.12
596,26.91,0.00,5.35
597,26.83,0.00,5.56
598,26.95,0.00,5.31
599,27.07,0.00,5.40
600,27.07,0.00,5.12
601,27.07,0.00,4.94
602,27.04,0.00,5.12
603,27.04,0.00,5.38
604,27.17,0.00,5.12
605,27.17,0.00,4.94
606,27.17,0.00,4.89
607,27.17,0.00,5.41
608,27.20,0.00,5.50
609,27.33,0.00,5.25
610,27.33,0.00,5.06
611,27.33,0.00,5.24
612,27.38,0.00,5.06
613,27.40,0.00,5.25
614,27.32,0.00,5.53
615,27.40,0.00,5.71
616,27.40,0.00,6.00
617,27.46,0.00,5.71
618,27.46,0.00,6.23
619,27.46,0.00,6.38
620,27.46,0.00,6.21
621,27.40,0.00,6.07
622,27.37,0.00,5.93
623,27.37,0.00,5.80
624,27.39,0.00,5.67
625,27.39,0.00,5.50
626,27.39,0.00,5.29
627,27.36,0.00,5.50
628,27.36,0.00,5.62
629,27.36,0.00,5.88
630,27.36,0.00,6.06
631,27.36,0.00,6.19
632,27.36,0.00,6.44
633,27.30,0.00,6.80
634,27.30,0.00,6.53
635,27.30,0.00,6.40
636,27.32,0.00,6.57
637,27.32,0.00,6.40
638,27.33,0.00,6.64
639,27.33,0.00,6.27
640,27.36,0.00,6.07
641,27.36,0.00,6.20
642,27.39,0.00,6.43
643,27.39,0.00,6.13
644,27.39,0.00,6.00
645,27.36,0.00,6.27
646,27.36,0.00,6.12
647,27.36,0.00,5.94
648,27.36,0.00,5.83
649,27.36,0.00,5.63
650,27.36,0.00,5.74
651,27.29,0.00,5.94
652,27.30,0.00,6.12
653,27.32,0.00,6.00
654,27.27,0.00,6.31
655,27.27,0.00,6.12
656,27.27,0.00,6.29
657,27.27,0.00,6.41
658,27.24,0.00,6.29
659,27.24,0.00,6.41
660,27.22,0.00,6.56
661,27.17,0.00,6.93
662,27.20,0.00,7.14
663,27.20,0.00,6.80
664,27.20,0.00,7.00
665,27.24,0.00,6.73
666,27.24,0.00,6.44
667,27.24,0.00,6.29
668,27.22,0.00,6.12
669,27.26,0.00,5.94
670,27.26,0.00,5.67
671,27.30,0.00,5.76
672,27.30,0.00,6.00
673,27.30,0.00,5.72
674,27.30,0.00,5.58
675,27.30,0.00,5.79
676,27.38,0.00,5.58
677,27.38,0.00,5.35
678,27.31,0.00,5.58
679,27.31,0.00,5.79
680,27.31,0.00,5.70
681,27.24,0.00,5.89
682,27.24,0.00,5.80
683,27.18,0.00,6.00
684,27.14,0.00,6.28
685,27.14,0.00,6.50
686,27.14,0.00,6.65
687,27.16,0.00,6.81
688,27.21,0.00,6.56
689,27.23,0.00,6.87
690,27.26,0.00,6.73
691,27.31,0.00,7.07
692,27.31,0.00,6.87
693,27.31,0.00,6.56
694,27.31,0.00,6.24
695,27.31,0.00,6.47
696,27.31,0.00,6.35
697,27.31,0.00,6.17
698,27.31,0.00,6.76
699,27.31,0.00,6.50
700,27.28,0.00,6.71
701,27.32,0.00,6.47
702,27.32,0.00,6.17
703,27.32,0.00,5.95
704,27.41,0.00,6.06
705,27.50,0.00,5.83
706,27.50,0.00,6.06
707,27.57,0.00,6.25
708,27.66,0.00,6.06
709,27.66,0.00,5.82
710,27.66,0.00,5.67
711,27.66,0.00,5.78
712,27.66,0.00,5.68
713,27.66,0.00,5.74
714,27.63,0.00,6.00
715,27.63,0.00,5.84
716,27.63,0.00,5.75
717,27.64,0.00,5.84
718,27.64,0.00,6.39
719,27.61,0.00,6.59
720,27.61,0.00,6.44
721,27.61,0.00,6.32
722,27.63,0.00,6.16
723,27.62,0.00,6.39
724,27.62,0.00,6.65
725,27.65,0.00,6.47
726,27.65,0.00,6.33
727,27.65,0.00,6.94
728,27.68,0.00,6.76
729,27.68,0.00,6.94
730,27.72,0.00,6.82
731,27.72,0.00,6.50
732,27.72,0.00,6.26
733,27.66,0.00,6.56
734,27.70,0.00,6.82
735,27.74,0.00,6.71
